name,url,score
My Own Pizza,https://maps.app.goo.gl/p7hwChtur7r3JpMf8,42.0
Marios Pizza House,https://maps.app.goo.gl/VPTjmFT6fdgg5SZL9,38.0
Pizza Hut,https://maps.app.goo.gl/PAytC1sPyamTMjq37,362.0
Pizza Hut,https://maps.app.goo.gl/cXyTAAhtHRWsXrLJ8,50.0
Pizza Hut,https://maps.app.goo.gl/hfsWC6ozC2Y8q5zc9,279.0
Pizza Hut,https://maps.app.goo.gl/sHxiiTAGMQAVL8X49,100.0
Pizza Hut,https://maps.app.goo.gl/qoFiL4i3LZYWEQbA8,93.0
Pizza Hut,https://maps.app.goo.gl/obkDW7ZaCom3W6fr7,35.0
Pizza Hut,https://maps.app.goo.gl/dB5YiybjVpTDLD3k7,25.0
Dominos,https://maps.app.goo.gl/bzvW89Nu3DkVtHPk8,142.0
Dominos,https://maps.app.goo.gl/2hcgnKJJxSQWvzsd6,47.0
Dominos,https://maps.app.goo.gl/2yVhqxxiEP3wfxiF9,51.0
Dominos,https://maps.app.goo.gl/m54BsuLK3u9oXAYu6,51.0
Dominos,https://maps.app.goo.gl/DCgbMvt61PamDVyz5,73.0
Dominos,https://maps.app.goo.gl/UMD4vfbv1KZ8k85X6,50.0
Dominos,https://maps.app.goo.gl/f2a9chVoEHiMKuPv6,52.0
Papa Johns,https://maps.app.goo.gl/JfrD9S1drCzVdUCi6,1000.0
Papa Johns,https://maps.app.goo.gl/o83bP4dv2aR6dzAa9,1000.0
Papa Johns,https://maps.app.goo.gl/UgAYPFe7TsjV9yTD9,434.99999999999994
Papa Johns,https://maps.app.goo.gl/74BTjDK6QehBr9Lg7,1000.0
Papa Johns,https://maps.app.goo.gl/gMyCwZw4VKq3sAMSA,43.0
Papa Johns,https://maps.app.goo.gl/vQGxcpBodu2beyod9,55.00000000000001
